manufacturer	model	displacement	year	cylinders	transmission	drive	city	highway	fuel	class
chevrolet	k1500 tahoe 4wd	5.3	2008	8	auto(l4)	4wd	14	19	regular	suv
chevrolet	k1500 tahoe 4wd	5.3	2008	8	auto(l4)	4wd	11	14	ethanol	suv
chevrolet	k1500 tahoe 4wd	5.7	1999	8	auto(l4)	4wd	11	15	regular	suv
chevrolet	k1500 tahoe 4wd	6.5	1999	8	auto(l4)	4wd	14	17	diesel	suv
chevrolet	malibu	2.4	1999	4	auto(l4)	front	19	27	regular	midsize
chevrolet	malibu	2.4	2008	4	auto(l4)	front	22	30	regular	midsize
chevrolet	malibu	3.1	1999	6	auto(l4)	front	18	26	regular	midsize
chevrolet	malibu	3.5	2008	6	auto(l4)	front	18	29	regular	midsize
chevrolet	malibu	3.6	2008	6	auto(s6)	front	17	26	regular	midsize
dodge	caravan 2wd	2.4	1999	4	auto(l3)	front	18	24	regular	minivan
dodge	caravan 2wd	3	1999	6	auto(l4)	front	17	24	regular	minivan
dodge	caravan 2wd	3.3	1999	6	auto(l4)	front	16	22	regular	minivan
dodge	caravan 2wd	3.3	1999	6	auto(l4)	front	16	22	regular	minivan
dodge	caravan 2wd	3.3	2008	6	auto(l4)	front	17	24	regular	minivan
dodge	caravan 2wd	3.3	2008	6	auto(l4)	front	17	24	regular	minivan
dodge	caravan 2wd	3.3	2008	6	auto(l4)	front	11	17	ethanol	minivan
dodge	caravan 2wd	3.8	1999	6	auto(l4)	front	15	22	regular	minivan
dodge	caravan 2wd	3.8	1999	6	auto(l4)	front	15	21	regular	minivan
dodge	caravan 2wd	3.8	2008	6	auto(l6)	front	16	23	regular	minivan
dodge	caravan 2wd	4	2008	6	auto(l6)	front	16	23	regular	minivan
dodge	dakota pickup 4wd	3.7	2008	6	manual(m6)	4wd	15	19	regular	pickup
dodge	dakota pickup 4wd	3.7	2008	6	auto(l4)	4wd	14	18	regular	pickup
dodge	dakota pickup 4wd	3.9	1999	6	auto(l4)	4wd	13	17	regular	pickup
dodge	dakota pickup 4wd	3.9	1999	6	manual(m5)	4wd	14	17	regular	pickup
dodge	dakota pickup 4wd	4.7	2008	8	auto(l5)	4wd	14	19	regular	pickup
dodge	dakota pickup 4wd	4.7	2008	8	auto(l5)	4wd	14	19	regular	pickup
dodge	dakota pickup 4wd	4.7	2008	8	auto(l5)	4wd	9	12	ethanol	pickup
dodge	dakota pickup 4wd	5.2	1999	8	manual(m5)	4wd	11	17	regular	pickup
dodge	dakota pickup 4wd	5.2	1999	8	auto(l4)	4wd	11	15	regular	pickup
dodge	durango 4wd	3.9	1999	6	auto(l4)	4wd	13	17	regular	suv
dodge	durango 4wd	4.7	2008	8	auto(l5)	4wd	13	17	regular	suv
dodge	durango 4wd	4.7	2008	8	auto(l5)	4wd	9	12	ethanol	suv
dodge	durango 4wd	4.7	2008	8	auto(l5)	4wd	13	17	regular	suv
dodge	durango 4wd	5.2	1999	8	auto(l4)	4wd	11	16	regular	suv
dodge	durango 4wd	5.7	2008	8	auto(l5)	4wd	13	18	regular	suv
dodge	durango 4wd	5.9	1999	8	auto(l4)	4wd	11	15	regular	suv
dodge	ram 1500 pickup 4wd	4.7	2008	8	manual(m6)	4wd	12	16	regular	pickup
dodge	ram 1500 pickup 4wd	4.7	2008	8	auto(l5)	4wd	9	12	ethanol	pickup
dodge	ram 1500 pickup 4wd	4.7	2008	8	auto(l5)	4wd	13	17	regular	pickup
dodge	ram 1500 pickup 4wd	4.7	2008	8	auto(l5)	4wd	13	17	regular	pickup
dodge	ram 1500 pickup 4wd	4.7	2008	8	manual(m6)	4wd	12	16	regular	pickup
dodge	ram 1500 pickup 4wd	4.7	2008	8	manual(m6)	4wd	9	12	ethanol	pickup
dodge	ram 1500 pickup 4wd	5.2	1999	8	auto(l4)	4wd	11	15	regular	pickup
dodge	ram 1500 pickup 4wd	5.2	1999	8	manual(m5)	4wd	11	16	regular	pickup
dodge	ram 1500 pickup 4wd	5.7	2008	8	auto(l5)	4wd	13	17	regular	pickup
dodge	ram 1500 pickup 4wd	5.9	1999	8	auto(l4)	4wd	11	15	regular	pickup
ford	expedition 2wd	4.6	1999	8	auto(l4)	rear	11	17	regular	suv
ford	expedition 2wd	5.4	1999	8	auto(l4)	rear	11	17	regular	suv
ford	expedition 2wd	5.4	2008	8	auto(l6)	rear	12	18	regular	suv
ford	explorer 4wd	4	1999	6	auto(l5)	4wd	14	17	regular	suv
ford	explorer 4wd	4	1999	6	manual(m5)	4wd	15	19	regular	suv
ford	explorer 4wd	4	1999	6	auto(l5)	4wd	14	17	regular	suv
ford	explorer 4wd	4	2008	6	auto(l5)	4wd	13	19	regular	suv
ford	explorer 4wd	4.6	2008	8	auto(l6)	4wd	13	19	regular	suv
ford	explorer 4wd	5	1999	8	auto(l4)	4wd	13	17	regular	suv
ford	f150 pickup 4wd	4.2	1999	6	auto(l4)	4wd	14	17	regular	pickup
ford	f150 pickup 4wd	4.2	1999	6	manual(m5)	4wd	14	17	regular	pickup
ford	f150 pickup 4wd	4.6	1999	8	manual(m5)	4wd	13	16	regular	pickup
ford	f150 pickup 4wd	4.6	1999	8	auto(l4)	4wd	13	16	regular	pickup
ford	f150 pickup 4wd	4.6	2008	8	auto(l4)	4wd	13	17	regular	pickup
ford	f150 pickup 4wd	5.4	1999	8	auto(l4)	4wd	11	15	regular	pickup
ford	f150 pickup 4wd	5.4	2008	8	auto(l4)	4wd	13	17	regular	pickup
ford	mustang	3.8	1999	6	manual(m5)	rear	18	26	regular	subcompact
ford	mustang	3.8	1999	6	auto(l4)	rear	18	25	regular	subcompact
ford	mustang	4	2008	6	manual(m5)	rear	17	26	regular	subcompact
ford	mustang	4	2008	6	auto(l5)	rear	16	24	regular	subcompact
ford	mustang	4.6	1999	8	auto(l4)	rear	15	21	regular	subcompact
ford	mustang	4.6	1999	8	manual(m5)	rear	15	22	regular	subcompact
ford	mustang	4.6	2008	8	manual(m5)	rear	15	23	regular	subcompact
ford	mustang	4.6	2008	8	auto(l5)	rear	15	22	regular	subcompact
ford	mustang	5.4	2008	8	manual(m6)	rear	14	20	premium	subcompact
honda	civic	1.6	1999	4	manual(m5)	front	28	33	regular	subcompact
honda	civic	1.6	1999	4	auto(l4)	front	24	32	regular	subcompact
honda	civic	1.6	1999	4	manual(m5)	front	25	32	regular	subcompact
honda	civic	1.6	1999	4	manual(m5)	front	23	29	premium	subcompact
honda	civic	1.6	1999	4	auto(l4)	front	24	32	regular	subcompact
honda	civic	1.8	2008	4	manual(m5)	front	26	34	regular	subcompact
honda	civic	1.8	2008	4	auto(l5)	front	25	36	regular	subcompact
honda	civic	1.8	2008	4	auto(l5)	front	24	36	CNG	subcompact
honda	civic	2	2008	4	manual(m6)	front	21	29	premium	subcompact
hyundai	sonata	2.4	1999	4	auto(l4)	front	18	26	regular	midsize
hyundai	sonata	2.4	1999	4	manual(m5)	front	18	27	regular	midsize
hyundai	sonata	2.4	2008	4	auto(l4)	front	21	30	regular	midsize
hyundai	sonata	2.4	2008	4	manual(m5)	front	21	31	regular	midsize
hyundai	sonata	2.5	1999	6	auto(l4)	front	18	26	regular	midsize
hyundai	sonata	2.5	1999	6	manual(m5)	front	18	26	regular	midsize
hyundai	sonata	3.3	2008	6	auto(l5)	front	19	28	regular	midsize
hyundai	tiburon	2	1999	4	auto(l4)	front	19	26	regular	subcompact
hyundai	tiburon	2	1999	4	manual(m5)	front	19	29	regular	subcompact
hyundai	tiburon	2	2008	4	manual(m5)	front	20	28	regular	subcompact
hyundai	tiburon	2	2008	4	auto(l4)	front	20	27	regular	subcompact
hyundai	tiburon	2.7	2008	6	auto(l4)	front	17	24	regular	subcompact
hyundai	tiburon	2.7	2008	6	manual(m6)	front	16	24	regular	subcompact
hyundai	tiburon	2.7	2008	6	manual(m5)	front	17	24	regular	subcompact
jeep	grand cherokee 4wd	3	2008	6	auto(l5)	4wd	17	22	diesel	suv
jeep	grand cherokee 4wd	3.7	2008	6	auto(l5)	4wd	15	19	regular	suv
jeep	grand cherokee 4wd	4	1999	6	auto(l4)	4wd	15	20	regular	suv
jeep	grand cherokee 4wd	4.7	1999	8	auto(l4)	4wd	14	17	regular	suv
jeep	grand cherokee 4wd	4.7	2008	8	auto(l5)	4wd	9	12	ethanol	suv
jeep	grand cherokee 4wd	4.7	2008	8	auto(l5)	4wd	14	19	regular	suv
jeep	grand cherokee 4wd	5.7	2008	8	auto(l5)	4wd	13	18	regular	suv
jeep	grand cherokee 4wd	6.1	2008	8	auto(l5)	4wd	11	14	premium	suv
land rover	range rover	4	1999	8	auto(l4)	4wd	11	15	premium	suv
land rover	range rover	4.2	2008	8	auto(s6)	4wd	12	18	regular	suv
land rover	range rover	4.4	2008	8	auto(s6)	4wd	12	18	regular	suv
land rover	range rover	4.6	1999	8	auto(l4)	4wd	11	15	premium	suv
lincoln	navigator 2wd	5.4	1999	8	auto(l4)	rear	11	17	regular	suv
lincoln	navigator 2wd	5.4	1999	8	auto(l4)	rear	11	16	premium	suv
lincoln	navigator 2wd	5.4	2008	8	auto(l6)	rear	12	18	regular	suv
mercury	mountaineer 4wd	4	1999	6	auto(l5)	4wd	14	17	regular	suv
mercury	mountaineer 4wd	4	2008	6	auto(l5)	4wd	13	19	regular	suv
mercury	mountaineer 4wd	4.6	2008	8	auto(l6)	4wd	13	19	regular	suv
mercury	mountaineer 4wd	5	1999	8	auto(l4)	4wd	13	17	regular	suv
nissan	altima	2.4	1999	4	manual(m5)	front	21	29	regular	compact
nissan	altima	2.4	1999	4	auto(l4)	front	19	27	regular	compact
nissan	altima	2.5	2008	4	auto(av)	front	23	31	regular	midsize
nissan	altima	2.5	2008	4	manual(m6)	front	23	32	regular	midsize
nissan	altima	3.5	2008	6	manual(m6)	front	19	27	premium	midsize
nissan	altima	3.5	2008	6	auto(av)	front	19	26	premium	midsize
nissan	maxima	3	1999	6	auto(l4)	front	18	26	regular	midsize
nissan	maxima	3	1999	6	manual(m5)	front	19	25	regular	midsize
nissan	maxima	3.5	2008	6	auto(av)	front	19	25	premium	midsize
nissan	pathfinder 4wd	3.3	1999	6	auto(l4)	4wd	14	17	regular	suv
nissan	pathfinder 4wd	3.3	1999	6	manual(m5)	4wd	15	17	regular	suv
nissan	pathfinder 4wd	4	2008	6	auto(l5)	4wd	14	20	premium	suv
nissan	pathfinder 4wd	5.6	2008	8	auto(s5)	4wd	12	18	premium	suv
pontiac	grand prix	3.1	1999	6	auto(l4)	front	18	26	regular	midsize
pontiac	grand prix	3.8	1999	6	auto(l4)	front	16	26	premium	midsize
pontiac	grand prix	3.8	1999	6	auto(l4)	front	17	27	regular	midsize
pontiac	grand prix	3.8	2008	6	auto(l4)	front	18	28	regular	midsize
pontiac	grand prix	5.3	2008	8	auto(s4)	front	16	25	premium	midsize
subaru	forester awd	2.5	1999	4	manual(m5)	4wd	18	25	regular	suv
subaru	forester awd	2.5	1999	4	auto(l4)	4wd	18	24	regular	suv
subaru	forester awd	2.5	2008	4	manual(m5)	4wd	20	27	regular	suv
subaru	forester awd	2.5	2008	4	manual(m5)	4wd	19	25	premium	suv
subaru	forester awd	2.5	2008	4	auto(l4)	4wd	20	26	regular	suv
subaru	forester awd	2.5	2008	4	auto(l4)	4wd	18	23	premium	suv
subaru	impreza awd	2.2	1999	4	auto(l4)	4wd	21	26	regular	subcompact
subaru	impreza awd	2.2	1999	4	manual(m5)	4wd	19	26	regular	subcompact
subaru	impreza awd	2.5	1999	4	manual(m5)	4wd	19	26	regular	subcompact
subaru	impreza awd	2.5	1999	4	auto(l4)	4wd	19	26	regular	subcompact
subaru	impreza awd	2.5	2008	4	auto(s4)	4wd	20	25	premium	compact
subaru	impreza awd	2.5	2008	4	auto(s4)	4wd	20	27	regular	compact
subaru	impreza awd	2.5	2008	4	manual(m5)	4wd	19	25	premium	compact
subaru	impreza awd	2.5	2008	4	manual(m5)	4wd	20	27	regular	compact
toyota	4runner 4wd	2.7	1999	4	manual(m5)	4wd	15	20	regular	suv
toyota	4runner 4wd	2.7	1999	4	auto(l4)	4wd	16	20	regular	suv
toyota	4runner 4wd	3.4	1999	6	auto(l4)	4wd	15	19	regular	suv
toyota	4runner 4wd	3.4	1999	6	manual(m5)	4wd	15	17	regular	suv
toyota	4runner 4wd	4	2008	6	auto(l5)	4wd	16	20	regular	suv
toyota	4runner 4wd	4.7	2008	8	auto(l5)	4wd	14	17	regular	suv
toyota	camry	2.2	1999	4	manual(m5)	front	21	29	regular	midsize
toyota	camry	2.2	1999	4	auto(l4)	front	21	27	regular	midsize
toyota	camry	2.4	2008	4	manual(m5)	front	21	31	regular	midsize
toyota	camry	2.4	2008	4	auto(l5)	front	21	31	regular	midsize
toyota	camry	3	1999	6	auto(l4)	front	18	26	regular	midsize
toyota	camry	3	1999	6	manual(m5)	front	18	26	regular	midsize
toyota	camry	3.5	2008	6	auto(s6)	front	19	28	regular	midsize
toyota	camry solara	2.2	1999	4	auto(l4)	front	21	27	regular	compact
toyota	camry solara	2.2	1999	4	manual(m5)	front	21	29	regular	compact
toyota	camry solara	2.4	2008	4	manual(m5)	front	21	31	regular	compact
toyota	camry solara	2.4	2008	4	auto(s5)	front	22	31	regular	compact
toyota	camry solara	3	1999	6	auto(l4)	front	18	26	regular	compact
toyota	camry solara	3	1999	6	manual(m5)	front	18	26	regular	compact
toyota	camry solara	3.3	2008	6	auto(s5)	front	18	27	regular	compact
toyota	corolla	1.8	1999	4	auto(l3)	front	24	30	regular	compact
toyota	corolla	1.8	1999	4	auto(l4)	front	24	33	regular	compact
toyota	corolla	1.8	1999	4	manual(m5)	front	26	35	regular	compact
toyota	corolla	1.8	2008	4	manual(m5)	front	28	37	regular	compact
toyota	corolla	1.8	2008	4	auto(l4)	front	26	35	regular	compact
toyota	land cruiser wagon 4wd	4.7	1999	8	auto(l4)	4wd	11	15	regular	suv
toyota	land cruiser wagon 4wd	5.7	2008	8	auto(s6)	4wd	13	18	regular	suv
toyota	toyota tacoma 4wd	2.7	1999	4	manual(m5)	4wd	15	20	regular	pickup
toyota	toyota tacoma 4wd	2.7	1999	4	auto(l4)	4wd	16	20	regular	pickup
toyota	toyota tacoma 4wd	2.7	2008	4	manual(m5)	4wd	17	22	regular	pickup
toyota	toyota tacoma 4wd	3.4	1999	6	manual(m5)	4wd	15	17	regular	pickup
toyota	toyota tacoma 4wd	3.4	1999	6	auto(l4)	4wd	15	19	regular	pickup
toyota	toyota tacoma 4wd	4	2008	6	manual(m6)	4wd	15	18	regular	pickup
toyota	toyota tacoma 4wd	4	2008	6	auto(l5)	4wd	16	20	regular	pickup
volkswagen	gti	2	1999	4	manual(m5)	front	21	29	regular	compact
volkswagen	gti	2	1999	4	auto(l4)	front	19	26	regular	compact
volkswagen	gti	2	2008	4	manual(m6)	front	21	29	premium	compact
volkswagen	gti	2	2008	4	auto(s6)	front	22	29	premium	compact
volkswagen	gti	2.8	1999	6	manual(m5)	front	17	24	regular	compact
volkswagen	jetta	1.9	1999	4	manual(m5)	front	33	44	diesel	compact
volkswagen	jetta	2	1999	4	manual(m5)	front	21	29	regular	compact
volkswagen	jetta	2	1999	4	auto(l4)	front	19	26	regular	compact
volkswagen	jetta	2	2008	4	auto(s6)	front	22	29	premium	compact
volkswagen	jetta	2	2008	4	manual(m6)	front	21	29	premium	compact
volkswagen	jetta	2.5	2008	5	auto(s6)	front	21	29	regular	compact
volkswagen	jetta	2.5	2008	5	manual(m5)	front	21	29	regular	compact
volkswagen	jetta	2.8	1999	6	auto(l4)	front	16	23	regular	compact
volkswagen	jetta	2.8	1999	6	manual(m5)	front	17	24	regular	compact
volkswagen	new beetle	1.9	1999	4	manual(m5)	front	35	44	diesel	subcompact
volkswagen	new beetle	1.9	1999	4	auto(l4)	front	29	41	diesel	subcompact
volkswagen	new beetle	2	1999	4	manual(m5)	front	21	29	regular	subcompact
volkswagen	new beetle	2	1999	4	auto(l4)	front	19	26	regular	subcompact
volkswagen	new beetle	2.5	2008	5	manual(m5)	front	20	28	regular	subcompact
volkswagen	new beetle	2.5	2008	5	auto(s6)	front	20	29	regular	subcompact
volkswagen	passat	1.8	1999	4	manual(m5)	front	21	29	premium	midsize
volkswagen	passat	1.8	1999	4	auto(l5)	front	18	29	premium	midsize
volkswagen	passat	2	2008	4	auto(s6)	front	19	28	premium	midsize
volkswagen	passat	2	2008	4	manual(m6)	front	21	29	premium	midsize
volkswagen	passat	2.8	1999	6	auto(l5)	front	16	26	premium	midsize
volkswagen	passat	2.8	1999	6	manual(m5)	front	18	26	premium	midsize
volkswagen	passat	3.6	2008	6	auto(s6)	front	17	26	premium	midsize
